"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Bolivia","Chiquitano dry forests","Primolius auricollis",1096.33,242,47,0.13,"100m",0.26,"half-normal key function with cosine(2) adjustments",0.372773210064802,930.77,0.85,"-"
"Bolivia","Chiquitano dry forests","Psittacara leucophthalmus",1096.33,267,16,0.36,"50m",0.4,"half-normal key function",0.290729317178674,667.5,0.61,"-"
"Bolivia","Chiquitano dry forests","Pyrrhura molinae",1096.33,807,74,0.71,"100m",0.1,"half-normal key function",0.999999882954793,8070,7.36,"-"
"Bolivia","Chiquitano dry forests","Thectocercus acuticaudatus",1096.33,313,22,0.94,"100m",0.3,"half-normal key function",0.898055353336283,1043.33,0.95,"-"
"Bolivia","Dry Chaco","Amazona aestiva",1099.62,64,17,0.26,"100m",0.74,"half-normal key function",0.414249462279674,86.49,0.08,"-"
"Bolivia","Dry Chaco","Myiopsitta monachus",1099.62,369,47,0.25,"100m",0.13,"half-normal key function",0.999735896346525,2838.46,2.58,"-"
"Bolivia","Dry Chaco","Pionus maximiliani",1099.62,484,25,0.8,"100m",0.19,"half-normal key function",0.962166068999356,2547.37,2.32,"-"
"Bolivia","Dry Chaco","Primolius auricollis",1099.62,116,17,0.93,"25m",0.28,"half-normal key function",0.93977666338234,414.29,0.38,"-"
"Bolivia","Dry Chaco","Psittacara mitratus",1099.62,1022,20,0.03,"100m",0.3,"half-normal key function",0.924883245754119,3406.67,3.1,"-"
"Bolivia","Dry Chaco","Pyrrhura molinae",1099.62,101,10,0.79,"50m",0.23,"half-normal key function",0.998181169224649,439.13,0.4,"-"
"Bolivia","Dry Chaco","Thectocercus acuticaudatus",1099.62,3556,173,0.31,"50m",0.26,"half-normal key function with cosine(2,3) adjustments",0.3071709609163,13676.92,12.44,"-"
"Bolivia","Pantanal","Aratinga nenday",154.58,309,12,0.4,"100m",0.27,"half-normal key function",0.966116733896978,1144.44,7.4,"-"
"Bolivia","Pantanal","Brotogeris chiriri",154.58,387,43,0.04,"25m",0.19,"half-normal key function",0.432131239657799,2036.84,13.18,"-"
"Bolivia","Pantanal","Pionus maximiliani",154.58,168,30,0.57,"100m",0.24,"half-normal key function with cosine(2,3) adjustments",0.449219693904976,700,4.53,"-"
"Bolivia","Pantanal","Primolius auricollis",154.58,34,15,0.26,"50m",0.24,"half-normal key function with cosine(2) adjustments",0.615384949165573,141.67,0.92,"-"
"Bolivia","Southern Andean Yungas","Ara militaris",441.11,134,10,0.75,"100m",0.51,"half-normal key function",0.270549849702328,262.75,0.6,"-"
"Bolivia","Southern Andean Yungas","Brotogeris chiriri",441.11,144,14,0.14,"50m",0.27,"half-normal key function",0.375500408540939,533.33,1.21,"-"
"Bolivia","Southern Andean Yungas","Pionus maximiliani",441.11,117,29,0.37,"50m",0.3,"half-normal key function",0.971423965884076,390,0.88,"-"
"Bolivia","Southern Andean Yungas","Psittacara mitratus",441.11,291,26,0.01,"100m",0.43,"half-normal key function",0.574234586325146,676.74,1.53,"-"
"Bolivia","Southern Andean Yungas","Thectocercus acuticaudatus",441.11,107,12,0.53,"50m",0.2,"half-normal key function",0.996104146342244,535,1.21,"-"
"Brazil","Araucaria moist forests","Amazona pretrei",444.42,918,12,0.12,"50m",1,"half-normal key function",0.60994797329214,918,2.07,"-"
"Brazil","Araucaria moist forests","Amazona vinacea",444.42,234,16,0.61,"100m",0.98,"half-normal key function",0.548930777312875,238.78,0.54,"-"
"Brazil","Araucaria moist forests","Psittacara leucophthalmus",444.42,320,20,0.62,"25m",0.21,"half-normal key function",0.857943652540349,1523.81,3.43,"-"
"Brazil","Araucaria moist forests","Pyrrhura frontalis",444.42,367,32,0.07,"100m",0.27,"half-normal key function with cosine(2) adjustments",0.406444834224988,1359.26,3.06,"-"
"Brazil","Caatinga","Anodorhynchus leari",3131.02,134,19,0.8,"50m",0.22,"half-normal key function with cosine(2,3) adjustments",0.194028901182743,609.09,0.19,"-"
"Brazil","Caatinga","Eupsittula cactorum",3131.02,1304,217,0.01,"100m",0.14,"half-normal key function",2.99697918704211e-08,9314.29,2.97,"-"
"Brazil","Caatinga","Forpus xanthopterygius",3131.02,351,65,0.31,"25m",0.1,"half-normal key function with cosine(2) adjustments",0.999995542048744,3510,1.12,"-"
"Brazil","Caatinga","Thectocercus acuticaudatus",3131.02,181,26,0.66,"25m",0.22,"half-normal key function with cosine(2) adjustments",0.985803064311225,822.73,0.26,"-"
"Brazil","Cerrado","Amazona aestiva",984.69,66,17,0.57,"50m",0.24,"half-normal key function",0.998370646683676,275,0.28,"-"
"Brazil","Cerrado","Amazona amazonica",984.69,24,13,1,"25m",0.26,"half-normal key function",0.720492233345594,92.31,0.09,"-"
"Brazil","Cerrado","Anodorhynchus hyacinthinus",984.69,26,11,0.99,"100m",0.3,"half-normal key function",0.960694561585817,86.67,0.09,"-"
"Brazil","Cerrado","Ara ararauna",984.69,149,46,0.21,"100m",0.45,"half-normal key function",0.90741257194513,331.11,0.34,"-"
"Brazil","Cerrado","Ara chloropterus",984.69,22,14,0.21,"100m",0.46,"half-normal key function",0.651090561328985,47.83,0.05,"-"
"Brazil","Cerrado","Aratinga jandaya",984.69,54,10,0.51,"50m",0.26,"half-normal key function",0.880117300890542,207.69,0.21,"-"
"Brazil","Cerrado","Brotogeris chiriri",984.69,941,101,0.73,"50m",0.16,"half-normal key function with cosine(2,3) adjustments",0.813834850375833,5881.25,5.97,"-"
"Brazil","Cerrado","Diopsittaca cumanensis",984.69,133,23,0.51,"50m",0.18,"half-normal key function with cosine(2,3) adjustments",0.718706255015703,738.89,0.75,"-"
"Brazil","Cerrado","Eupsittula aurea",984.69,442,112,0,"25m",0.14,"half-normal key function with cosine(2,3) adjustments",0.363151991022378,3157.14,3.21,"-"
"Brazil","Cerrado","Orthopsittaca manilatus",984.69,59,11,0.33,"100m",0.37,"half-normal key function",0.429144622216199,159.46,0.16,"-"
"Brazil","Cerrado","Psittacara leucophthalmus",984.69,334,19,0.7,"50m",0.28,"half-normal key function with cosine(2) adjustments",0.122491755755631,1192.86,1.21,"-"
"Brazil","Cerrado","Thectocercus acuticaudatus",984.69,142,27,0.91,"25m",0.22,"half-normal key function",0.999556707312122,645.45,0.66,"-"
"Brazil","Chiquitano dry forests","Ara ararauna",283.5,27,13,0.28,"50m",0.44,"half-normal key function",0.270404229171218,61.36,0.22,"-"
"Brazil","Chiquitano dry forests","Brotogeris chiriri",283.5,69,12,0.69,"50m",0.07,"half-normal key function",0.999999999995279,985.71,3.48,"-"
"Brazil","Chiquitano dry forests","Thectocercus acuticaudatus",283.5,38,10,0.59,"25m",0.1,"half-normal key function",0.999999591695729,380,1.34,"-"
"Brazil","Madeira-Tapajos moist forests","Amazona ochrocephala",425.8,54,18,0.78,"50m",0.27,"half-normal key function",0.993091748267128,200,0.47,"-"
"Brazil","Madeira-Tapajos moist forests","Ara ararauna",425.8,131,57,0.1,"50m",0.26,"half-normal key function with cosine(2) adjustments",0.586678317246345,503.85,1.18,"-"
"Brazil","Madeira-Tapajos moist forests","Ara macao",425.8,45,20,0.44,"100m",0.3,"half-normal key function with cosine(2) adjustments",0.254108241355979,150,0.35,"-"
"Brazil","Madeira-Tapajos moist forests","Ara severus",425.8,131,41,0.14,"50m",0.26,"half-normal key function with cosine(2) adjustments",0.0547684362576224,503.85,1.18,"-"
"Brazil","Madeira-Tapajos moist forests","Pionus menstruus",425.8,58,14,0.98,"100m",0.28,"half-normal key function with cosine(2) adjustments",0.24138444690487,207.14,0.49,"-"
"Brazil","Madeira-Tapajos moist forests","Psittacara leucophthalmus",425.8,66,21,0.12,"50m",0.21,"half-normal key function with cosine(2,3) adjustments",0.285085050456952,314.29,0.74,"-"
"Brazil","Mato Grosso tropical dry forests","Ara ararauna",480.5,51,23,0.49,"25m",0.32,"half-normal key function",0.97655109696848,159.38,0.33,"-"
"Brazil","Mato Grosso tropical dry forests","Ara severus",480.5,82,23,0.48,"50m",0.33,"half-normal key function",0.851639700512092,248.48,0.52,"-"
"Brazil","Mato Grosso tropical dry forests","Brotogeris chiriri",480.5,62,16,0.22,"100m",0.22,"half-normal key function",0.581442234836489,281.82,0.59,"-"
"Brazil","Mato Grosso tropical dry forests","Diopsittaca cumanensis",480.5,100,10,0.98,"25m",0.21,"half-normal key function",0.802650692032762,476.19,0.99,"-"
"Brazil","Mato Grosso tropical dry forests","Pionus menstruus",480.5,58,21,0.14,"50m",0.22,"half-normal key function with cosine(2) adjustments",0.0350715207426036,263.64,0.55,"-"
